point,name,norm_mm,after_missing_exit_norm_mm,after_seed_correction_norm_mm,tangent_roll_hypothesis_norm_mm,geometric_r_at_socket_mm,single_point,origin,roll_difference_rad,socket_rst_changed,delta_r_mm,delta_s_mm,delta_t_mm,delta_x_mm,delta_y_mm,delta_z_mm,after_missing_exit_x_mm,after_missing_exit_y_mm,after_missing_exit_z_mm,after_seed_correction_x_mm,after_seed_correction_y_mm,after_seed_correction_z_mm,tangent_roll_hypothesis_x_mm,tangent_roll_hypothesis_y_mm,tangent_roll_hypothesis_z_mm
XTAX.X0220023.E,XTAX.X0220023,0.0009999999974752427,0.0009999999974752427,0.00040678158936948274,0.00040678158936948274,0.0,False,Entry,0.0,False,-0.0009932157009593535,-0.00011628656185074132,-4.302602984819547e-08,-0.0009999999974752427,0.0,0.0,-0.0009999999974752427,0.0,0.0,0.0003736388407560298,-0.00016082685760920867,0.0,0.0003736388407560298,-0.00016082685760920867,0.0
XTAX.X0220023.S,XTAX.X0220023,0.0019999999949504854,0.0019999999949504854,0.0005600501386161637,0.0005600501386161637,0.0,False,Entry,0.0,False,-0.001986431401918707,-0.00023257312370148265,-8.605205969639094e-08,-0.0019999999949504854,0.0,0.0,-0.0019999999949504854,0.0,0.0,-0.0005330648491508327,-0.00017174988897750154,0.0,-0.0005330648491508327,-0.00017174988897750154,0.0
XTAX.X0220025.E,XTAX.X0220025,0.0019999999949504854,0.0019999999949504854,0.0005520599667256942,0.0005520599667256942,0.0,False,Entry,0.0,False,-0.001986431401918707,-0.00023257312370148265,-8.605205969639094e-08,-0.0019999999949504854,0.0,0.0,-0.0019999999949504854,0.0,0.0,-0.0005243281293587643,-0.0001727721610222943,0.0,-0.0005243281293587643,-0.0001727721610222943,0.0
XTAX.X0220025.S,XTAX.X0220025,0.0014142137999687712,0.0014142137999687712,0.0009950263921545276,0.0009950263921545276,0.0,False,Entry,0.0,False,-0.0011095023104306676,0.0008769294098696325,3.244638964581333e-07,-0.0009999999974752427,0.0010000003385357559,0.0,-0.0009999999974752427,0.0010000003385357559,0.0,0.0005689682893716963,0.0008163042366504669,0.0,0.0005689682893716963,0.0008163042366504669,0.0
MSN.X0220027.E,MSN.X0220027,0.00223606812438118,0.00223606812438118,0.0008913511954246753,0.0008913511954246753,0.0,False,Entry,0.0,False,-0.0021038407019667235,0.0007575320972833153,2.8143786660993784e-07,-0.0019999999949504854,0.0010000003385357559,0.0,-0.0019999999949504854,0.0010000003385357559,0.0,-0.00037307938782760175,0.0008095175871858373,0.0,-0.00037307938782760175,0.0008095175871858373,0.0
MSN.X0220027.S,MSN.X0220027,0.002236067717642821,0.002236067717642821,0.0008226546408620789,0.0008226546408620789,0.0,False,Entry,0.0,False,-0.002103840594868804,0.000757531194116367,2.8143753237991e-07,-0.0019999999949504854,0.000999999429041054,0.0,-0.0019999999949504854,0.000999999429041054,0.0,-0.0002233321083622286,0.0007917597031337209,0.0,-0.0002233321083622286,0.0007917597031337209,0.0
MSN.X0220031.A,MSN.X0220031,0.0019999999949504854,0.0019999999949504854,0.0002798600823925899,0.0002798600823925899,0.0,False,Entry,1.0000000000157452e-09,False,-0.0019853335425423805,-0.00024176579008020662,-8.605205969639094e-08,-0.0019999999949504854,0.0,0.0,-0.0019999999949504854,0.0,0.0,-0.00015343584891525097,-0.00023404936655424535,0.0,-0.00015343584891525097,-0.00023404936655424535,0.0
MSN.X0220031.E,MSN.X0220031,0.0019999999949504854,0.0019999999949504854,0.00026482723837419753,0.00026482723837419753,0.0,False,Entry,1.0000000000157452e-09,False,-0.0019853335425423805,-0.00024176579008020662,-8.605205969639094e-08,-0.0019999999949504854,0.0,0.0,-0.0019999999949504854,0.0,0.0,-0.0001513153620180674,-0.0002173410393879749,0.0,-0.0001513153620180674,-0.0002173410393879749,0.0
MSN.X0220031.B,MSN.X0220031,0.00223606812438118,0.00223606812438118,0.0007457537719666422,0.0007457537719666422,0.0,False,Entry,1.0000000000157452e-09,False,-0.0021062164864558944,0.0007509012517286684,2.8143786660993784e-07,-0.0019999999949504854,0.0010000003385357559,0.0,-0.0019999999949504854,0.0010000003385357559,0.0,1.1526253729243763e-05,0.0007456646926584654,0.0,1.1526253729243763e-05,0.0007456646926584654,0.0
MSN.X0220031.S,MSN.X0220031,0.002236067717642821,0.002236067717642821,0.0007626965172801857,0.0007626965172801857,0.0,False,Entry,1.0000000000157452e-09,False,-0.002106216376513535,0.0007509003489035589,2.8143753237991e-07,-0.0019999999949504854,0.000999999429041054,0.0,-0.0019999999949504854,0.000999999429041054,0.0,1.377020453219302e-05,0.0007625721991644241,0.0,1.377020453219302e-05,0.0007625721991644241,0.0
QNL.X0220034.E,QNL.X0220034,0.0022360678193274323,0.0022360678193274323,0.0007594434082662415,0.0007594434082662415,-1.3996655518394647,False,Entry,-1.0000000000157452e-09,False,-0.0021074683027114717,0.0007473798006978016,2.8143752748841676e-07,-0.002000000108637323,0.000999999429041054,0.0,-0.002000000108637323,0.000999999429041054,0.0,6.827099241490941e-05,0.000756368535803631,0.0,6.827099241490941e-05,0.000756368535803631,0.0
QNL.X0220034.S,QNL.X0220034,0.00223606812438118,0.00223606812438118,0.0007736141364650189,0.0007736141364650189,1.3996655518394647,False,Entry,-1.0000000000157452e-09,False,-0.002107468301332273,0.0007473807172692894,2.8143786660993784e-07,-0.0019999999949504854,0.0010000003385357559,0.0,-0.0019999999949504854,0.0010000003385357559,0.0,0.00024222913452831563,0.0007347134669544175,0.0,0.00024222913452831563,0.0007347134669544175,0.0
QNL.X0220041.E,QNL.X0220041,0.0019999999949504854,0.0019999999949504854,0.0005767676028935096,0.0005767676028935096,0.0,False,Entry,0.0,False,-0.0019849267803309497,-0.0002450829433518249,-8.605205969639094e-08,-0.0019999999949504854,0.0,0.0,-0.0019999999949504854,0.0,0.0,0.0004947911520503112,-0.00029638249543495476,0.0,0.0004947911520503112,-0.00029638249543495476,0.0
QNL.X0220041.S,QNL.X0220041,0.002999999992425728,0.002999999992425728,0.00045907539849747485,0.00045907539849747485,0.0,False,Entry,0.0,False,-0.0029773901704964246,-0.00036762441502773737,-1.290780895445864e-07,-0.002999999992425728,0.0,0.0,-0.002999999992425728,0.0,0.0,-0.0003312292164991959,-0.00031786385079612955,0.0,-0.0003312292164991959,-0.00031786385079612955,0.0
QNL.X0220049.E,QNL.X0220049,0.002999999992425728,0.002999999992425728,0.00035589208051899605,0.00035589208051899605,-2.7993311036789295,False,Entry,-9.999999999615351e-10,False,-0.0029773901704964246,-0.00036762441502773737,-1.290780895445864e-07,-0.002999999992425728,0.0,0.0,-0.002999999992425728,0.0,0.0,-4.623018412530655e-05,-0.00035287666833028197,0.0,-4.623018412530655e-05,-0.00035287666833028197,0.0
QNL.X0220049.S,QNL.X0220049,0.003999999989900971,0.003999999989900971,0.0009493694366811441,0.0009493694366811441,2.7993311036789295,False,Entry,-9.999999999615351e-10,False,-0.0039698535606618995,-0.0004901658867036498,-1.7210411939278188e-07,-0.003999999989900971,0.0,0.0,-0.003999999989900971,0.0,0.0,-0.0008722939810468233,-0.00037470726965693757,0.0,-0.0008722939810468233,-0.00037470726965693757,0.0
